game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-10,32,31,5,2,4,8,21,23,11,4,3,12,16,9
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-16,32,31,6,2,4,10,30,20,5,4,2,5,16,10
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-4,32,31,5,1,5,7,19,24,11,4,1,1,14,9
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-1,30,29,6,4,6,8,32,28,13,6,6,26,26,14
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,5,0,5,7,20,24,12,4,0,0,12,8
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,8,30,28,6,7,7,9,37,28,12,7,10,45,32,15
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-5,4,29,27,9,8,5,14,50,36,17,7,12,56,31,12
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-1,32,31,5,1,4,7,20,23,12,4,1,1,14,9
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-14,31,30,7,3,5,9,32,25,11,4,3,9,20,13
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,12,-1,32,31,4,4,5,5,14,22,12,4,6,9,20,10
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,1,-4,30,29,5,6,7,7,22,30,15,6,9,38,30,15
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-3,11,30,28,5,7,7,7,24,31,17,7,10,42,32,15
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-10,32,31,5,2,4,8,19,23,11,4,2,5,16,10
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,10,-1,29,28,3,5,8,4,15,31,18,7,6,21,31,18
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,4,30,28,6,6,6,10,39,26,9,7,10,47,32,15
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,4,31,29,4,5,6,5,17,28,16,6,7,26,27,14
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,4,1,4,6,18,21,11,4,1,1,14,9
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,0,31,30,6,4,5,7,20,25,12,5,6,26,23,12
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,3,30,28,5,6,7,5,17,30,17,7,8,29,32,17
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-4,32,31,5,2,3,8,24,22,11,4,3,3,16,9
