game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,-7,31,30,4,3,6,7,20,27,13,3,3,12,25,16
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,7,-2,30,29,3,5,7,5,24,30,17,6,6,24,30,17
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,10,-7,31,30,5,6,5,10,36,28,13,5,9,34,26,11
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,2,0,30,29,4,4,7,6,31,30,17,5,5,21,31,17
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-3,12,31,29,4,5,6,7,37,27,13,6,7,32,29,15
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-9,2,31,29,4,5,6,7,19,28,15,6,7,26,27,12
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-3,31,30,4,4,5,7,22,28,14,5,6,25,27,14
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-20,30,29,6,2,6,9,43,28,13,6,2,9,26,16
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-2,14,31,29,1,5,6,2,7,24,15,6,6,25,29,15
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-4,2,30,28,1,5,7,5,15,31,18,5,6,27,28,13
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-3,29,28,4,3,8,6,19,33,19,7,3,9,33,20
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,-6,31,30,5,2,5,9,25,23,8,5,2,12,27,16
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,17,-1,32,31,4,3,5,6,18,22,11,4,4,15,18,10
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,13,-10,30,29,4,4,7,6,22,30,17,4,5,20,30,18
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,-14,29,28,5,1,7,6,22,31,17,7,1,6,29,18
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,9,-4,30,29,4,4,7,8,34,30,15,3,5,16,29,18
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,8,0,30,29,4,5,6,7,32,28,14,5,6,20,25,11
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,15,-1,28,27,2,4,9,7,21,34,18,6,4,15,34,19
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,0,12,31,29,3,3,6,5,24,26,15,6,4,18,29,16
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-5,31,30,5,3,5,7,21,28,16,5,4,13,25,14
