game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,14,30,28,3,5,7,3,10,27,17,7,7,30,30,16
1,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,20,30,28,6,5,5,10,32,31,16,7,7,30,30,16
2,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,0,31,30,4,4,6,5,15,25,14,5,6,29,23,12
3,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-4,32,31,5,4,5,8,26,24,11,4,6,21,20,10
4,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-5,8,29,27,7,6,7,8,28,31,16,8,9,40,35,18
5,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,0,28,27,8,5,7,11,34,30,12,8,7,29,34,19
6,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-7,32,31,5,3,4,7,16,23,12,4,4,7,18,10
7,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,5,2,5,7,22,24,12,4,3,12,16,9
8,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,14,28,26,5,7,9,6,23,37,22,9,10,44,38,19
9,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-2,32,31,6,5,5,9,24,24,10,4,8,29,22,10
10,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-3,31,30,6,6,6,8,27,25,11,5,9,32,27,13
11,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,0,32,31,5,2,5,7,20,24,12,4,2,5,16,10
12,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,2,0,30,29,7,7,5,9,26,32,18,6,10,37,29,13
13,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-3,31,30,3,4,6,3,8,23,14,4,5,8,22,13
14,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,0,30,29,5,3,7,5,16,30,18,6,3,11,24,15
15,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-7,14,30,28,5,7,4,7,19,28,17,7,10,45,30,13
16,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,0,31,30,5,3,6,7,27,27,14,5,5,25,21,11
17,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-4,32,31,5,4,5,7,16,24,12,4,5,14,20,11
18,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,4,-2,27,26,5,7,10,6,22,39,23,9,11,43,38,18
19,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-5,31,30,5,6,6,5,19,27,16,5,9,37,27,13
