game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,5,1,4,6,15,23,13,4,1,4,14,9
1,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,10,-6,30,29,7,4,5,10,40,32,17,6,5,20,26,15
2,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-8,31,30,5,3,6,6,23,27,15,5,4,16,21,12
3,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-5,8,31,29,6,8,3,10,27,27,14,5,12,53,27,10
4,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,7,30,28,7,7,5,10,35,33,18,7,11,42,32,14
5,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-2,31,30,5,5,6,6,22,27,15,5,7,28,25,13
6,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-13,32,31,6,4,4,9,24,25,12,4,6,15,20,10
7,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-1,32,31,5,3,3,6,15,22,13,4,4,4,18,10
8,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,5,29,27,4,6,8,4,12,32,20,8,8,32,35,19
9,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-7,32,31,6,2,4,8,20,25,13,4,2,5,16,10
10,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-4,32,31,4,1,5,6,17,22,11,4,1,1,14,9
11,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,6,1,5,9,32,24,10,4,1,4,14,9
12,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,5,31,29,7,4,5,10,43,28,13,6,5,20,25,14
13,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-1,33,32,6,1,4,10,25,19,5,3,1,1,11,7
14,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-3,5,27,25,6,6,10,6,19,37,21,10,9,40,41,22
15,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-10,32,31,6,3,5,9,28,24,10,4,4,13,18,10
16,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-12,30,29,7,3,6,10,38,28,12,6,4,19,24,14
17,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,6,1,5,9,28,24,10,4,1,1,14,9
18,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-2,2,29,27,5,7,8,6,14,34,20,8,9,36,35,18
19,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,12,-1,30,29,6,7,7,7,23,30,16,6,10,41,29,13
