game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-2,32,31,6,2,5,9,24,24,10,4,2,5,16,10
1,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-12,31,30,6,2,6,9,34,27,12,3,2,2,17,12
2,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,4,0,29,28,7,6,7,9,32,29,13,7,10,49,33,16
3,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-10,31,30,5,2,6,6,19,27,15,3,2,2,17,12
4,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-9,16,31,29,6,6,4,10,29,28,14,6,10,45,29,13
5,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-7,32,31,5,2,4,7,20,23,12,4,3,12,16,9
6,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-3,6,29,27,7,7,7,10,35,29,12,8,10,36,33,15
7,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-2,32,31,5,1,5,7,18,24,12,4,1,1,14,9
8,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,15,-6,30,29,6,4,7,6,17,30,17,6,6,26,26,14
9,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-2,2,31,29,5,5,6,7,26,28,15,6,7,28,27,14
10,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-3,8,31,29,5,7,4,8,23,26,14,6,11,49,29,12
11,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-5,14,31,29,3,7,6,3,11,24,15,6,10,37,27,11
12,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,0,32,31,6,1,5,9,26,24,10,4,1,1,14,9
13,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-1,33,32,6,2,3,10,25,19,6,3,3,3,13,7
14,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-3,31,30,5,3,6,6,20,27,15,5,4,19,21,12
15,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,6,-1,27,26,6,6,10,7,23,39,22,9,9,34,39,21
16,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,0,30,29,3,6,7,4,12,26,15,6,10,46,30,14
17,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-2,31,30,4,5,6,5,17,25,14,5,8,35,25,12
18,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-1,32,31,4,4,5,5,12,22,12,4,5,8,20,11
19,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-2,32,31,6,2,5,10,34,24,9,2,3,3,14,9
