game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,8,-6,32,31,5,2,6,6,24,23,4,4,3,3,16,9
1,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,1,life,-2,5,32,30,3,5,5,4,15,21,5,4,6,9,23,13
2,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,33,32,6,1,2,9,34,21,7,3,1,1,11,7
3,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,33,32,5,0,3,8,27,20,7,3,0,0,9,6
4,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,4,-12,31,30,5,7,7,7,25,26,3,5,11,48,26,10
5,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,1,life,0,2,31,29,5,4,6,6,19,27,4,6,5,20,25,14
6,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,14,-3,33,32,7,2,4,9,27,19,2,3,2,2,13,8
7,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,1,life,-4,13,31,29,5,8,6,10,32,28,7,5,13,62,27,9
8,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,4,-11,31,30,9,7,3,14,39,27,6,5,12,46,26,9
9,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,14,-4,32,31,4,1,4,4,18,21,8,4,1,1,14,9
10,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,7,-11,30,29,6,4,7,6,16,28,4,6,6,29,26,14
11,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,11,-7,30,29,4,6,7,6,16,28,6,6,11,55,30,13
12,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,32,31,7,2,6,9,30,19,1,4,3,12,16,9
13,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,8,-1,31,30,6,6,4,9,33,27,7,5,9,38,27,13
14,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-2,34,33,6,1,3,8,30,16,3,2,1,1,8,5
15,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,34,33,6,0,1,8,30,18,4,2,0,0,6,4
16,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,32,31,8,0,3,12,31,22,4,4,0,0,12,8
17,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,31,30,5,3,6,7,30,27,2,5,5,23,21,11
18,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,5,2,4,6,26,23,5,4,3,12,16,9
19,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,12,-3,31,30,5,5,6,8,28,27,5,5,8,37,25,12
