game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-3,17,31,29,2,4,6,5,17,26,15,6,4,19,27,14
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-1,2,30,28,4,7,7,6,29,30,16,5,9,26,29,13
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-4,30,29,4,6,7,6,20,28,14,6,9,30,29,13
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,11,0,28,27,2,5,8,5,19,32,17,7,6,17,33,17
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-3,20,31,29,1,5,6,2,11,26,16,6,8,27,29,14
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,8,-5,30,29,5,5,6,10,38,28,12,5,5,18,27,14
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-2,31,30,4,5,6,7,26,27,14,5,7,27,27,14
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,9,0,30,29,2,3,7,5,18,26,12,6,4,17,30,17
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,7,-8,30,29,3,3,7,6,20,28,14,6,4,14,30,17
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,6,-7,30,29,4,4,4,7,22,31,18,6,4,14,25,12
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-1,29,28,1,4,8,4,16,33,19,7,5,19,30,15
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,0,20,32,30,1,4,5,2,5,19,12,5,5,19,26,14
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-10,30,29,4,4,5,7,22,30,17,6,5,15,28,16
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,2,0,27,26,7,6,6,11,47,43,25,8,8,27,34,16
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-1,31,30,5,4,6,8,26,27,13,5,5,16,25,14
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-14,31,30,6,4,5,10,33,25,10,5,5,21,27,15
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,13,0,31,30,5,5,6,9,32,27,12,5,5,19,26,14
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,7,0,30,29,3,4,7,6,19,30,17,6,5,20,30,17
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,13,-14,31,30,6,5,6,8,32,27,13,5,6,18,25,14
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-1,31,30,3,1,4,6,18,23,13,5,1,12,27,16
