game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-2,30,29,4,3,4,6,17,29,18,6,3,16,29,16
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-2,30,29,4,3,5,8,23,32,18,6,4,22,30,17
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-11,30,29,5,4,6,6,23,31,18,6,5,14,30,17
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-7,31,30,5,5,5,9,32,28,14,4,7,17,28,15
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,19,-5,29,28,3,4,8,6,20,33,19,3,5,14,31,20
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,6,0,29,28,3,4,8,6,19,33,19,7,5,22,33,19
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,4,-4,29,28,2,3,8,3,13,31,19,7,4,15,31,18
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,6,-4,29,28,2,6,8,3,10,29,18,6,8,32,26,10
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,7,-4,29,28,2,5,8,6,20,33,19,5,6,22,28,13
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-2,14,32,30,2,5,2,2,6,20,14,5,8,18,24,11
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,8,-4,29,28,2,6,8,5,20,31,18,6,8,24,30,14
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,11,-8,30,29,4,2,6,8,34,28,13,6,2,13,28,17
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,9,-3,31,30,6,6,5,11,36,28,12,5,9,21,24,9
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-1,32,31,4,3,5,7,21,22,9,4,4,16,20,11
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,7,-9,30,29,4,6,7,6,30,30,16,6,7,21,29,15
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-1,31,30,3,1,6,7,23,27,13,5,1,4,21,13
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,11,-7,29,28,4,5,7,6,22,31,17,5,6,26,26,11
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,10,-4,28,27,2,4,9,5,15,36,21,8,5,19,36,21
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-1,2,28,26,1,5,9,6,20,30,14,6,5,21,30,14
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,11,-4,29,28,2,5,8,6,23,33,18,6,6,22,30,15
