game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-1,28,29,6,6,6,9,36,33,18,7,8,23,33,18
1,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,10,-4,28,29,6,8,9,7,26,28,12,6,11,41,30,13
2,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,11,-4,31,32,4,4,7,5,20,21,9,4,6,17,20,10
3,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-4,31,32,4,2,5,6,27,22,11,4,2,5,16,10
4,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-1,30,31,4,5,5,5,24,24,14,5,7,22,25,13
5,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-2,27,28,2,7,8,3,7,29,18,8,9,28,35,18
6,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,0,31,32,4,4,5,5,19,22,12,4,6,17,20,10
7,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-2,29,30,6,3,5,8,24,30,17,6,3,8,24,15
8,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,1,life,-11,4,30,30,3,6,5,3,14,23,15,6,9,32,29,14
9,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,0,32,33,5,2,4,6,24,20,10,3,3,7,13,7
10,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-6,31,32,6,3,7,8,39,22,7,4,4,11,18,10
11,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,1,life,-4,14,31,31,3,5,4,4,8,20,12,5,8,26,24,11
12,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-6,31,32,6,3,4,8,26,25,13,4,4,11,18,10
13,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,1,life,-3,8,29,29,2,7,6,2,9,24,16,7,8,26,32,17
14,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,1,life,-18,8,29,29,3,7,6,5,25,26,15,7,10,38,32,15
15,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,11,-6,29,30,4,6,6,6,25,27,15,6,9,27,30,15
16,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-3,31,32,6,4,4,8,27,23,11,4,6,13,20,10
17,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,6,-2,28,29,5,6,5,6,20,29,18,7,9,30,33,17
18,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-8,30,31,5,3,6,5,19,26,15,5,4,12,21,12
19,RandomAgent,HeuristicAgent,mono_white_control,mono_green_midrange,0,life,20,-7,29,30,4,3,6,5,24,26,15,6,3,8,24,15
