game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures
0,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-2,20,20,14,0,4
1,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-13,20,20,14,0,5
2,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,20,21,15,0,5
3,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,20,21,15,0,5
4,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,20,21,15,0,5
5,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,20,20,14,0,6
6,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-13,20,20,14,0,5
7,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,20,21,15,0,6
8,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,20,21,15,0,7
9,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-9,20,20,14,0,5
10,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,20,19,13,0,3
11,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,20,21,15,0,5
12,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,20,20,14,0,4
13,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,20,21,15,0,5
14,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,20,20,14,0,3
15,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,20,21,15,0,5
16,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,20,21,15,0,7
17,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,20,21,15,0,6
18,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,20,20,14,0,3
19,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,20,21,15,0,6
