game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-8,30,21,4,7,7,5,21,30,17,4,9,23,30,17
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-3,6,32,22,3,7,5,4,9,23,13,5,9,24,26,12
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-9,29,20,6,7,6,8,32,35,19,7,8,19,32,17
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,17,-4,31,22,4,6,6,5,19,27,15,5,9,26,27,13
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-6,31,22,5,6,6,6,21,27,14,5,8,24,27,14
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,19,-9,31,22,4,2,6,5,14,25,14,5,2,5,19,12
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,15,-1,32,23,6,5,5,8,25,24,11,4,7,17,22,11
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,0,30,21,5,6,5,7,28,32,18,6,8,26,30,16
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-10,32,23,5,4,5,8,21,24,11,4,5,11,20,11
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-6,30,21,3,4,7,3,10,26,16,6,6,14,26,14
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-6,31,22,5,4,6,7,31,27,13,5,5,17,23,13
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,-1,32,23,4,1,5,5,14,22,12,1,1,1,11,9
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,-4,31,22,6,4,5,9,33,28,13,5,6,23,23,12
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,-1,32,23,4,2,3,6,19,22,12,4,2,5,16,10
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-6,31,22,6,3,6,8,32,27,13,5,3,9,21,13
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-2,31,22,5,5,6,8,28,27,13,5,7,26,25,13
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-6,31,22,4,4,6,5,17,25,14,5,5,11,23,13
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-5,31,22,5,7,6,7,27,27,13,5,10,28,26,11
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,11,0,31,22,6,6,6,9,34,25,10,5,7,21,27,15
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,15,-4,32,23,4,5,5,6,18,24,12,4,7,19,22,11
