game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-7,31,30,4,4,5,7,23,28,15,5,5,15,26,13
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-5,31,30,4,4,6,7,23,25,11,5,5,18,27,15
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,0,31,30,4,4,4,6,16,27,16,5,4,14,25,15
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-2,31,30,4,3,6,6,22,27,15,5,3,7,23,14
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-1,8,30,28,3,4,7,4,15,29,18,7,5,17,32,18
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-3,31,30,4,2,5,8,24,28,15,5,2,9,27,16
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,3,-3,30,29,5,6,5,10,34,32,17,5,7,26,27,13
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-2,30,29,2,6,7,6,20,28,15,3,9,22,31,17
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,3,-6,30,29,5,6,6,9,38,28,12,5,8,28,27,12
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,4,-2,29,28,3,5,8,6,22,33,19,7,7,25,32,16
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,8,-8,30,29,4,5,7,6,19,30,16,6,6,18,30,17
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-2,32,31,4,3,5,6,17,22,11,4,3,7,18,11
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-11,13,31,29,1,7,6,2,9,24,15,5,8,31,30,16
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,2,-3,31,30,4,5,6,7,16,27,14,5,7,26,27,14
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,13,-5,30,29,4,4,7,7,29,30,16,6,5,23,30,17
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,0,30,29,2,0,7,5,20,28,16,6,0,4,22,14
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-1,2,31,29,3,4,6,6,25,26,14,6,5,22,27,15
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-11,31,30,4,5,6,7,23,25,11,5,5,15,27,16
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,4,-9,30,29,4,6,7,7,22,30,16,5,6,21,30,17
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,-5,29,28,3,4,8,6,19,33,19,7,6,24,32,16
