game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,18,-4,31,28,6,4,6,8,32,27,13,5,6,21,23,12
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,6,-3,28,25,4,8,9,6,29,36,19,7,11,46,33,15
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,18,-5,31,28,6,7,6,9,32,27,12,4,11,39,28,13
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,18,-8,31,28,6,4,6,7,28,27,14,5,6,19,23,12
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,20,-5,31,28,6,4,6,8,32,27,13,5,5,16,23,13
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,18,-3,31,28,4,4,5,4,15,28,17,5,6,21,23,12
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,17,-8,31,28,5,4,6,6,18,27,15,5,6,21,23,12
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,20,-10,32,29,5,3,5,8,22,20,6,4,5,20,18,9
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,20,-7,31,28,5,2,6,8,27,27,13,5,2,8,19,12
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,20,-5,31,28,4,3,6,5,21,27,15,5,4,15,21,12
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,18,-9,31,28,5,6,6,6,18,27,14,5,10,35,27,12
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,20,-6,32,29,5,3,4,7,17,23,12,4,5,15,18,9
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,18,-6,31,28,4,3,6,5,14,27,15,5,4,16,21,12
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,1,life,0,12,31,27,2,7,6,2,10,26,16,6,10,37,29,13
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,16,-7,31,28,5,6,5,8,31,28,14,5,10,35,27,12
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,20,-7,32,29,6,5,3,8,21,24,13,4,8,31,22,10
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,20,-7,32,29,5,3,5,7,20,24,12,4,4,15,18,10
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,18,-11,31,28,6,5,6,9,27,27,12,5,7,27,25,13
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,1,life,0,5,29,25,6,6,5,8,31,37,22,8,8,34,35,19
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_blue_tempo,0,life,16,-7,31,28,5,7,6,5,16,27,16,5,11,38,26,10
