game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures
0,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,0,21,16,7,4
1,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,17,21,15,5,6
2,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-16,6,21,15,5,7
3,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,4,21,15,4,5
4,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,4,-3,20,15,5,5
5,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,0,20,15,6,3
6,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-16,8,21,15,4,7
7,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-3,9,20,14,5,4
8,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,8,21,15,5,6
9,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-2,21,16,4,4
10,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-8,16,21,15,3,6
11,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-1,22,17,4,4
12,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,-1,21,16,4,3
13,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,0,10,21,15,5,4
14,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,10,21,15,5,5
15,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,0,21,16,8,3
16,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-19,13,21,15,4,7
17,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,2,21,15,4,6
18,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,6,21,15,3,4
19,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-9,7,21,15,7,5
