game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,15,-5,32,31,4,5,5,6,16,24,12,4,7,17,24,11
1,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,14,0,33,32,3,3,4,4,10,19,10,2,4,11,20,11
2,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,14,-13,32,31,6,1,4,9,26,25,12,5,1,3,14,8
3,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,15,-7,31,30,4,2,6,5,17,27,15,5,4,11,25,11
4,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,1,life,0,8,33,31,3,4,4,5,16,20,10,5,5,19,20,7
5,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,11,-2,31,29,4,2,6,4,14,28,17,6,3,7,24,9
6,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,2,-7,31,30,5,4,5,6,19,26,15,5,6,24,27,13
7,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,8,-1,30,29,6,4,5,8,23,32,18,6,4,13,27,12
8,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,1,life,-8,11,31,29,3,5,6,4,17,28,16,6,8,17,29,9
9,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,13,-2,31,30,5,2,6,6,27,27,14,3,4,7,21,13
10,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,1,life,-2,2,32,30,5,4,4,7,18,26,14,6,8,17,26,10
11,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,1,life,-1,16,31,29,4,4,6,5,17,28,16,5,5,19,23,12
12,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,6,-3,31,30,4,3,6,5,18,27,15,4,5,10,27,13
13,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,7,-12,30,29,5,3,7,8,35,30,15,5,4,9,24,13
14,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,9,-9,31,30,4,4,5,5,18,25,13,4,4,8,24,15
15,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,1,life,-3,14,32,30,3,5,5,4,9,21,12,4,7,23,23,12
16,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,1,life,0,7,33,31,4,6,4,6,17,20,10,3,8,22,22,10
17,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,5,-14,31,30,5,5,6,7,27,27,13,7,7,15,25,11
18,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,0,life,14,-7,32,31,5,3,4,7,19,25,13,2,3,7,16,11
19,HeuristicAgent,RandomAgent,mono_green_midrange,mono_red_aggro,1,life,-6,8,32,30,2,5,5,3,10,21,12,5,6,20,23,11
