game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,14,-5,30,29,6,6,7,6,23,31,13,6,10,46,30,14
1,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,34,33,4,1,2,8,29,15,4,2,1,1,8,5
2,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,14,-4,31,30,6,7,6,7,21,28,14,5,11,40,26,10
3,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,14,0,30,29,5,8,6,6,20,29,11,5,12,51,30,13
4,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-14,33,32,7,1,3,7,22,18,7,3,1,1,11,7
5,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,33,32,7,0,3,10,31,17,4,3,0,0,9,6
6,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,31,30,6,6,6,9,37,26,11,5,10,46,27,12
7,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-5,31,30,4,6,6,4,11,25,11,5,9,40,27,13
8,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,11,-1,30,29,5,3,8,7,25,30,7,6,5,23,24,13
9,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,33,32,7,3,3,9,28,23,11,3,5,5,15,7
10,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,33,32,5,0,3,6,23,20,8,3,0,0,9,6
11,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,32,31,4,1,4,5,17,21,11,4,1,4,14,9
12,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-5,31,30,6,2,6,8,26,26,9,5,2,5,19,12
13,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,1,life,-2,11,30,28,5,4,7,7,25,30,12,7,5,18,28,16
14,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,5,2,4,7,23,23,11,4,3,12,16,9
15,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,12,-2,31,30,8,6,4,12,38,28,12,5,8,31,27,14
16,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,33,32,3,0,3,4,17,15,7,3,0,0,9,6
17,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-7,32,31,3,3,5,3,11,20,9,4,3,6,18,11
18,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,33,32,5,1,4,9,38,21,7,3,1,1,11,7
19,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,6,1,4,9,33,24,9,4,1,4,14,9
