game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,6,-7,30,21,5,7,7,5,19,30,18,6,11,27,27,10
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-13,31,22,6,5,6,10,40,25,9,5,6,16,25,14
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-10,32,23,6,3,5,9,26,24,10,4,3,9,18,11
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-14,31,22,5,5,6,8,27,25,10,5,6,20,25,14
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-2,31,22,4,6,5,5,19,28,16,5,9,27,27,13
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-3,29,20,4,9,8,4,16,33,20,5,12,36,31,14
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,17,0,32,23,4,4,5,5,13,22,12,4,6,13,20,10
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-4,31,22,5,5,5,7,21,28,15,5,7,15,25,13
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,13,-9,31,22,5,6,6,6,21,27,14,5,8,24,27,14
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,10,-14,31,22,7,4,5,10,39,25,10,5,4,12,23,14
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-7,31,22,5,5,6,5,19,27,16,5,6,16,25,14
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-9,31,22,5,4,6,7,24,27,13,5,4,9,23,14
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,3,-6,29,20,6,5,6,9,43,33,17,7,7,17,31,17
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,8,-2,31,22,4,5,6,5,19,25,14,5,7,27,25,13
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-2,31,22,5,6,6,6,23,27,15,5,9,23,27,13
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,8,-4,30,21,5,6,7,6,22,30,17,6,8,19,30,16
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,3,-4,31,22,4,6,6,6,15,25,13,5,8,24,27,14
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-11,30,21,5,5,6,5,22,31,18,6,5,15,28,17
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,13,-4,31,22,4,6,6,5,18,25,14,5,9,27,27,13
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,9,-17,30,21,5,6,7,7,34,30,16,6,7,20,30,17
