game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures
0,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-8,19,16,6,3
1,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,10,19,15,6,5
2,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,1,19,15,6,5
3,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-9,3,18,14,4,4
4,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,4,19,15,5,5
5,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,4,19,15,4,5
6,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,0,18,15,4,6
7,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,0,19,16,5,3
8,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,4,-2,19,16,4,5
9,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,18,0,20,17,6,2
10,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,13,19,15,6,6
11,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,12,19,15,5,6
12,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-15,8,18,14,5,7
13,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,1,19,15,6,6
14,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-13,10,19,15,4,7
15,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,8,19,15,5,4
16,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-4,18,15,8,5
17,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-16,15,19,15,3,7
18,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-5,18,15,5,2
19,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,18,-1,20,17,6,4
