game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-4,32,31,6,3,5,9,22,24,10,4,4,7,18,10
1,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,12,-4,32,31,4,4,5,6,17,22,11,4,6,9,20,10
2,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-2,32,31,4,2,5,6,15,22,11,4,2,5,16,10
3,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-2,32,31,5,2,5,8,24,24,11,4,3,12,16,9
4,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,10,26,24,6,6,11,7,25,42,24,11,6,21,44,27
5,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,15,-7,29,28,5,5,8,7,32,33,18,7,7,30,31,17
6,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,12,0,31,30,5,5,6,6,25,27,15,5,7,27,25,13
7,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-9,31,30,4,4,6,5,14,25,14,4,6,15,22,12
8,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,7,29,27,7,6,7,10,31,29,12,8,9,33,35,18
9,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-7,2,31,29,6,8,5,8,29,29,16,5,12,45,27,10
10,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-10,16,30,28,6,6,5,9,30,31,17,7,7,29,32,18
11,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,8,-1,29,28,7,8,7,10,39,29,12,6,11,37,28,11
12,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-3,31,30,6,5,6,9,33,27,12,5,8,36,25,12
13,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-2,31,30,5,4,5,6,18,26,15,5,5,18,23,13
14,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,2,30,28,5,7,7,6,19,31,18,7,10,34,32,15
15,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-2,30,29,4,2,7,5,26,28,16,4,3,6,20,13
16,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-4,32,31,5,2,5,7,20,24,12,4,2,5,16,10
17,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,6,27,25,5,9,10,5,12,40,25,8,13,55,37,16
18,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,15,-1,29,28,6,6,8,7,27,31,16,7,9,40,33,17
19,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-7,32,31,5,2,4,7,20,23,12,4,2,5,16,10
