__source_file,agent0,agent1,deck0_name,deck1_name,end_reason,game_id,p0_approx_mana_spent,p0_battlefield_creatures,p0_creature_casts,p0_land_plays,p0_library_size,p0_life,p0_main_phase_actions,p0_main_phase_passes,p1_approx_mana_spent,p1_battlefield_creatures,p1_creature_casts,p1_land_plays,p1_library_size,p1_life,p1_main_phase_actions,p1_main_phase_passes,winner
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,8,,6,,,19,-1,,,,5,,,15,6,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,9,,5,,,19,-7,,,,7,,,15,7,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,10,,6,,,19,-4,,,,5,,,15,4,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,11,,6,,,19,-4,,,,5,,,15,2,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,12,,5,,,19,11,,,,3,,,16,-3,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,13,,7,,,19,-1,,,,5,,,15,10,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,14,,5,,,18,-14,,,,5,,,14,6,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,15,,6,,,18,2,,,,4,,,15,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,16,,6,,,19,11,,,,3,,,16,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,17,,4,,,18,-7,,,,5,,,14,1,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,18,,2,,,18,-14,,,,5,,,14,9,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,19,,5,,,19,-7,,,,7,,,15,8,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,20,,6,,,19,10,,,,3,,,16,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,21,,6,,,17,2,,,,2,,,14,-1,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,22,,8,,,19,11,,,,3,,,16,-6,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,23,,3,,,19,-4,,,,5,,,15,16,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,24,,5,,,18,-10,,,,4,,,14,4,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,25,,4,,,19,-4,,,,5,,,15,5,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,26,,4,,,18,2,,,,4,,,15,-5,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,27,,4,,,18,-11,,,,5,,,14,9,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,28,,4,,,18,2,,,,4,,,15,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,29,,5,,,19,-6,,,,7,,,15,9,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,30,,6,,,19,11,,,,4,,,16,-5,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,31,,7,,,18,8,,,,3,,,15,-5,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,32,,3,,,19,-4,,,,5,,,15,8,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,33,,6,,,19,-1,,,,6,,,15,4,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,34,,6,,,20,20,,,,3,,,17,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,35,,6,,,19,4,,,,5,,,16,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,36,,6,,,19,-4,,,,5,,,15,3,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,37,,5,,,18,8,,,,3,,,15,-4,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,38,,7,,,19,8,,,,5,,,16,-3,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,39,,5,,,19,-7,,,,5,,,15,7,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,40,,4,,,19,-10,,,,5,,,15,10,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,41,,6,,,19,10,,,,3,,,16,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,42,,5,,,19,1,,,,7,,,16,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,43,,5,,,19,13,,,,3,,,16,-5,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,44,,6,,,19,-4,,,,5,,,15,7,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,45,,6,,,20,20,,,,4,,,17,-4,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,46,,6,,,19,17,,,,2,,,16,-5,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,47,,4,,,19,13,,,,3,,,16,0,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,48,,7,,,19,17,,,,1,,,16,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,49,,7,,,19,-1,,,,7,,,15,3,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,50,,6,,,18,2,,,,5,,,15,0,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,51,,6,,,18,0,,,,4,,,14,11,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,52,,5,,,19,-10,,,,5,,,15,6,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,53,,3,,,19,-4,,,,5,,,15,14,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,54,,5,,,19,-4,,,,6,,,15,4,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,55,,7,,,19,-1,,,,5,,,15,5,,,1
