game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-2,1,29,27,7,5,7,11,41,30,12,8,6,29,33,19
1,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,10,30,28,2,5,7,2,7,25,16,7,6,27,30,17
2,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,6,0,31,30,4,7,6,5,12,25,14,5,10,31,26,11
3,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,18,31,29,3,5,6,4,17,24,14,6,7,28,27,14
4,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-1,31,30,5,5,6,7,24,27,14,5,8,34,25,12
5,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-6,32,31,5,1,4,7,17,23,12,4,1,1,14,9
6,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-4,32,31,5,2,4,8,23,23,11,4,2,2,16,10
7,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-10,32,31,6,3,4,9,25,25,12,4,4,13,18,10
8,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-2,4,30,28,4,5,7,5,20,29,17,7,7,28,30,16
9,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,4,2,4,5,14,21,12,4,3,6,16,9
10,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-2,32,31,5,2,5,7,17,24,12,4,2,5,16,10
11,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-1,32,31,5,3,5,6,19,24,13,4,4,7,18,10
12,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-7,32,31,6,3,4,8,23,25,13,4,3,6,18,11
13,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,4,0,25,24,6,6,12,6,24,45,27,11,7,26,45,27
14,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,16,31,29,3,6,6,4,15,24,14,6,8,19,29,15
15,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,6,28,26,7,7,8,8,22,32,16,9,11,51,34,14
16,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,20,30,28,4,7,7,5,17,29,17,7,10,41,28,11
17,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,2,30,28,5,6,7,7,23,31,17,7,10,46,32,15
18,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-7,32,31,5,3,5,7,20,24,12,4,4,13,18,10
19,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,0,31,30,5,6,6,6,20,27,15,5,8,31,27,14
