game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-12,32,31,7,4,3,10,28,26,13,4,6,21,20,10
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,5,3,5,7,20,24,12,4,5,20,18,9
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,2,30,28,7,5,5,9,34,33,19,7,7,25,30,16
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,10,-1,30,29,6,7,7,6,22,30,17,6,11,51,29,12
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,12,-8,32,31,5,4,5,8,21,24,11,4,6,9,20,10
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-2,2,30,28,6,8,7,8,27,28,13,6,13,63,28,9
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,12,-4,32,31,6,4,5,9,26,24,10,4,6,9,20,10
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-7,32,31,5,3,3,7,20,22,12,4,4,13,18,10
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,9,-2,30,29,7,7,6,9,35,28,13,6,10,39,29,13
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,4,1,4,6,17,21,11,4,1,1,14,9
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,8,-2,31,30,3,4,6,4,9,23,13,5,5,11,23,13
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,8,30,28,5,6,7,6,15,31,18,7,9,30,32,16
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,10,-3,31,30,7,4,5,11,42,28,12,5,5,18,23,13
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-7,2,30,28,5,6,7,7,20,31,17,7,7,29,32,18
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-5,31,30,7,6,5,10,38,28,13,5,9,29,27,13
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-4,32,31,7,1,3,11,30,26,12,4,1,1,14,9
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,8,30,28,6,9,7,8,27,28,13,5,13,43,28,10
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-5,2,29,27,6,6,8,8,32,29,13,8,8,33,35,19
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-11,2,30,28,7,6,6,9,34,28,13,7,8,39,32,17
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-5,31,30,5,4,6,7,26,27,14,5,6,26,23,12
