game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,14,29,27,4,7,8,4,14,32,20,8,9,35,35,18
1,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,15,-4,30,29,7,7,6,10,35,28,12,6,11,43,29,12
2,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-4,32,31,4,2,5,6,17,22,11,4,2,5,16,10
3,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-7,32,31,6,2,5,8,21,24,11,4,2,2,16,10
4,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-1,2,30,28,6,7,7,8,32,28,13,7,10,42,32,15
5,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-1,32,31,4,1,4,5,14,21,12,4,1,1,14,9
6,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,8,31,29,7,6,5,11,41,25,9,6,9,28,29,14
7,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,6,0,30,29,7,7,6,9,31,28,13,6,9,36,29,14
8,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-2,14,30,28,5,6,7,6,22,31,18,7,10,41,32,15
9,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,8,29,27,5,6,8,8,33,34,18,8,9,43,35,18
10,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,5,2,5,6,19,24,13,4,3,12,16,9
11,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,0,32,31,6,3,5,9,28,24,10,4,4,7,18,10
12,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-2,32,31,6,1,5,9,24,24,10,4,1,1,14,9
13,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,2,30,28,7,5,5,9,29,33,19,7,7,30,30,16
14,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-1,8,29,27,5,7,8,5,15,34,21,8,10,37,33,15
15,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-2,32,31,5,0,5,7,18,24,12,4,0,0,12,8
16,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,2,28,26,5,9,9,6,19,37,22,7,14,57,30,9
17,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-2,31,30,5,4,6,6,22,27,15,5,6,27,23,12
18,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-6,32,31,5,4,5,8,23,24,11,4,5,8,20,11
19,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-12,31,30,7,4,5,11,43,25,9,5,6,26,23,12
