game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,33,32,4,2,4,4,16,19,11,3,2,2,13,8
1,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-10,32,31,4,1,4,5,21,21,12,4,1,1,14,9
2,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-1,32,31,5,2,7,7,29,23,9,4,2,5,16,10
3,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,33,32,5,1,4,6,23,20,10,3,1,1,11,7
4,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-5,32,31,6,3,4,8,28,22,10,4,4,13,18,10
5,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,5,1,5,6,19,23,12,4,1,4,14,9
6,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,33,32,3,1,5,4,14,17,8,3,1,1,11,7
7,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,1,life,-6,1,30,28,3,7,9,3,8,27,15,7,11,52,32,14
8,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,33,32,5,1,4,6,19,21,11,3,1,1,11,7
9,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-6,32,31,5,3,5,6,21,23,12,4,3,6,18,11
10,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-10,32,31,4,3,4,5,17,21,12,4,4,13,18,10
11,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,33,32,3,1,4,3,14,17,10,3,1,1,11,7
12,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-3,32,31,3,2,4,3,14,19,12,4,2,5,16,10
13,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-4,31,30,6,4,6,6,22,27,15,5,6,29,23,12
14,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,31,30,4,5,5,4,13,24,15,5,8,36,25,12
15,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,34,33,4,0,3,5,19,16,8,2,0,0,6,4
16,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,33,32,4,1,4,5,16,19,10,3,1,1,11,7
17,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,12,-4,31,30,6,7,5,8,30,28,15,5,11,48,26,10
18,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-5,32,31,7,4,4,9,28,22,9,4,6,9,20,10
19,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,34,33,5,0,3,6,25,17,8,2,0,0,6,4
