game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,2,30,28,4,5,7,5,12,29,17,7,7,33,30,16
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,1,-2,28,27,6,7,9,8,36,32,15,8,11,44,33,14
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-2,6,30,28,7,7,5,8,28,33,20,7,11,50,28,10
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,10,30,28,6,7,7,9,34,28,12,7,12,57,28,9
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,10,29,27,5,5,8,8,26,34,18,8,7,34,33,18
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-3,14,27,25,4,8,10,4,17,40,25,9,9,39,37,19
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-1,14,29,27,4,7,8,4,15,32,20,8,10,45,35,17
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-4,32,31,4,2,4,6,17,21,11,4,2,5,16,10
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-2,14,31,29,3,7,6,3,13,28,17,6,11,51,29,12
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-8,8,30,28,4,6,7,6,25,31,17,7,10,49,32,15
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,8,29,27,4,5,8,4,12,34,21,8,7,30,33,18
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,5,4,5,7,23,24,12,4,7,22,20,9
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,0,32,31,4,1,4,5,13,21,12,4,1,1,14,9
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-3,11,29,27,5,6,8,6,25,34,20,8,9,39,35,18
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-10,32,31,6,0,5,9,28,24,10,4,0,0,12,8
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,6,-7,30,29,6,7,7,7,31,28,14,6,10,41,29,13
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,1,-2,28,27,4,6,9,4,17,36,22,8,8,27,36,20
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,6,-5,30,29,5,5,7,5,24,30,17,6,7,31,28,15
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,0,32,31,5,2,5,6,16,24,13,4,2,5,16,10
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-11,31,30,6,4,5,8,30,25,11,5,6,26,23,12
