game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,1,life,-4,3,31,31,6,6,4,10,23,26,5,5,9,30,26,12
1,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,20,-2,32,33,6,4,5,8,23,22,4,3,7,21,17,7
2,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,1,life,-6,2,30,30,7,5,5,8,16,27,4,6,7,30,27,14
3,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,5,-11,30,31,6,5,5,7,21,26,4,5,7,23,25,13
4,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,1,life,-10,16,31,31,6,6,6,8,18,24,5,5,9,28,26,12
5,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,1,life,-10,2,29,29,5,4,6,6,12,30,11,7,6,22,28,15
6,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,12,-4,31,32,6,3,5,7,16,25,5,4,4,9,18,10
7,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,8,0,30,31,5,4,6,7,16,27,7,5,5,16,23,13
8,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,1,life,-7,8,31,31,4,6,5,5,19,23,6,5,8,22,26,13
9,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,14,-5,31,32,5,3,5,5,14,23,1,4,4,12,18,10
10,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,4,-2,31,32,6,5,5,8,22,22,7,4,8,23,22,10
11,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,11,0,31,32,6,3,4,8,21,24,1,4,5,15,18,9
12,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,1,life,-10,8,31,31,5,5,3,6,12,23,5,5,9,27,24,10
13,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,20,-7,32,33,6,3,4,8,26,19,2,3,5,15,15,7
14,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,2,-1,30,31,7,4,5,11,30,27,3,5,5,14,23,13
15,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,1,life,0,7,32,32,7,7,4,9,20,20,5,4,11,30,23,8
16,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,5,0,30,31,6,4,6,8,18,25,7,5,4,10,23,14
17,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,18,-6,32,33,5,3,3,6,18,20,5,3,4,11,15,8
18,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,0,life,10,-1,31,32,5,4,4,8,21,23,5,4,5,13,20,11
19,RandomAgent,HeuristicAgent,mono_red_aggro,mono_green_midrange,1,life,-1,15,31,31,5,5,5,6,12,24,4,5,6,15,24,13
