game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,33,32,6,1,4,10,33,19,5,3,1,1,11,7
1,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-17,32,31,7,2,5,9,38,26,11,1,3,3,13,9
2,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,19,-14,30,29,8,3,4,10,34,28,13,6,4,20,24,14
3,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,32,31,6,2,3,7,20,24,13,4,3,12,16,9
4,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-3,31,30,4,4,5,4,14,24,14,5,6,29,23,12
5,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,32,31,6,1,2,7,28,24,14,4,1,1,14,9
6,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-10,31,30,6,3,3,7,21,27,15,5,4,7,21,12
7,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-7,32,31,4,3,5,6,25,22,9,4,4,7,18,10
8,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,12,-4,30,29,5,6,5,6,21,27,14,6,9,41,30,15
9,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,6,2,4,9,26,24,10,4,2,2,16,10
10,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,0,32,31,5,4,3,7,22,22,10,4,6,15,20,10
11,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,12,-8,31,30,4,4,3,7,34,23,9,5,5,20,23,13
12,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,32,31,3,2,4,4,14,20,7,4,3,12,16,9
13,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,10,-7,30,29,5,5,6,7,22,30,12,6,5,12,28,17
14,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,13,0,30,29,5,7,6,6,25,28,11,6,10,45,29,13
15,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,14,-7,31,30,4,7,6,6,22,25,10,5,11,46,26,10
16,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,13,-1,29,28,5,4,6,5,18,32,17,7,4,15,29,18
17,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,11,-1,30,29,4,6,5,5,22,26,14,6,9,40,30,15
18,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-15,33,32,8,0,2,12,45,17,3,3,0,0,9,6
19,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,33,32,4,1,6,4,14,19,8,3,1,1,11,7
