game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures
0,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,6,19,15,5,5
1,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-2,19,16,4,4
2,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,-1,19,16,6,2
3,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,7,19,15,4,5
4,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,14,19,15,4,6
5,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-13,13,19,15,4,7
6,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-3,19,16,7,3
7,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,0,20,17,5,3
8,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,6,19,15,6,5
9,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,7,19,15,5,7
10,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,4,19,15,6,5
11,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,2,19,15,6,5
12,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-3,19,16,5,3
13,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,10,19,15,7,5
14,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-14,6,18,14,5,5
15,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-2,18,15,6,4
16,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-2,19,16,6,3
17,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,1,18,14,4,5
18,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-14,9,18,14,2,5
19,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,8,19,15,5,7
