game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-1,32,31,4,1,4,5,15,23,13,4,1,1,14,9
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-4,32,31,4,2,5,6,16,24,12,4,2,5,16,10
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,4,-1,29,28,4,7,8,4,17,31,19,7,10,39,28,11
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-4,32,31,4,2,5,6,15,22,11,4,2,5,16,10
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,2,30,28,5,7,5,6,19,33,20,7,9,36,30,14
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-1,8,31,29,6,4,6,9,32,27,12,6,6,27,25,13
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-3,17,30,28,3,7,7,3,12,29,18,7,10,37,32,15
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,2,31,29,4,6,6,5,14,28,16,6,9,36,29,14
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,8,-2,29,28,6,7,7,7,24,32,17,7,11,42,28,10
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-4,32,31,4,4,5,6,16,24,12,4,5,8,20,11
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-5,30,29,3,2,7,3,11,26,16,6,2,6,22,14
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,14,30,28,6,5,7,8,26,30,15,7,7,34,30,16
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,8,30,28,3,7,7,3,9,31,19,7,12,57,28,9
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,4,-2,30,29,5,6,6,6,24,31,17,6,9,40,30,15
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-2,8,31,29,3,5,6,3,13,28,17,6,7,28,27,14
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-1,31,30,5,2,6,6,21,27,14,5,3,15,19,11
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,6,1,5,9,29,24,10,4,1,4,14,9
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-12,8,30,28,6,7,6,8,34,26,11,7,11,50,30,12
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,4,2,5,6,18,24,12,4,3,12,16,9
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,4,30,28,6,6,6,7,29,31,17,7,8,33,32,17
