game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-2,30,29,3,4,7,8,32,28,13,4,4,14,32,20
1,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-8,31,30,4,4,5,8,26,25,11,5,5,14,27,15
2,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,14,-4,29,28,5,5,7,8,25,31,16,6,6,18,28,13
3,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,0,30,29,3,3,7,5,20,30,17,6,3,14,27,14
4,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,0,12,31,29,2,3,4,4,10,24,15,6,4,18,27,15
5,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-2,31,30,5,6,5,9,28,28,14,4,8,28,24,10
6,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-11,30,29,4,3,7,7,22,28,14,6,3,11,29,16
7,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,-10,30,29,5,6,7,6,24,30,16,6,8,25,30,16
8,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,12,-4,30,29,6,5,7,7,19,30,16,6,6,17,28,16
9,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,20,-4,30,29,3,2,7,7,30,30,16,6,3,9,28,16
10,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-1,30,29,2,2,7,5,15,28,16,3,2,8,27,18
11,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,10,-1,30,29,2,5,7,4,13,28,16,6,8,27,30,15
12,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,16,-15,30,29,4,6,7,4,18,30,18,6,9,20,30,15
13,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,4,-13,29,28,5,5,6,9,34,32,16,6,6,29,31,16
14,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,1,life,-1,10,31,29,2,6,6,4,14,28,17,5,8,25,27,12
15,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,15,0,32,31,4,4,5,7,17,24,12,4,5,17,24,13
16,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,6,-10,30,29,3,5,7,7,25,28,13,6,6,23,29,15
17,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,6,-14,30,29,4,4,7,6,26,30,17,6,5,20,30,17
18,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,9,-4,31,30,3,5,4,5,15,25,15,5,6,20,27,15
19,HeuristicAgent,HeuristicAgent15,mono_green_midrange,mono_red_aggro,0,life,18,-6,30,29,3,4,7,6,29,28,14,6,5,16,27,13
