game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,0,31,29,4,4,3,5,16,20,12,4,6,19,20,10
1,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-1,30,28,5,4,5,7,28,26,14,5,6,21,23,12
2,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-3,30,28,5,6,7,5,19,27,15,5,9,31,27,13
3,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,13,-4,30,28,5,4,5,7,30,26,14,5,6,21,23,12
4,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-4,28,26,5,6,8,5,21,32,19,7,8,28,33,18
5,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-6,28,26,6,5,8,6,21,32,18,7,5,20,31,19
6,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,0,30,28,2,5,6,2,10,20,12,5,9,34,25,11
7,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,14,-12,27,25,7,8,9,8,34,35,18,7,11,46,33,15
8,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-2,29,27,7,7,6,7,26,28,15,6,11,39,27,10
9,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,14,-4,31,29,4,5,4,6,18,21,11,4,8,27,22,10
10,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-1,31,29,6,5,5,8,29,25,12,4,8,29,22,10
11,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,1,life,-3,14,31,28,1,8,3,1,1,15,11,4,13,42,24,7
12,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,0,32,30,5,1,5,6,21,20,9,3,1,3,11,7
13,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,9,-8,28,26,5,8,8,6,30,33,19,6,11,46,30,13
14,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-7,29,27,6,7,8,8,23,30,14,6,10,38,29,13
15,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,0,30,28,4,3,7,4,15,25,14,5,5,15,21,11
16,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-4,32,30,8,2,2,12,47,18,4,3,3,9,13,7
17,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,1,life,-4,17,30,27,1,6,4,1,5,18,13,6,8,31,29,15
18,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-3,29,27,4,5,6,5,19,27,16,6,8,29,28,14
19,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,18,0,29,27,4,4,6,5,19,27,16,6,5,16,26,15
