game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures
0,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
1,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
2,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
3,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
4,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
5,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
6,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
7,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
8,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
9,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
10,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
11,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
12,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
13,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
14,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
15,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
16,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
17,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
18,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
19,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,decking,20,20,5,0,0,11
