game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-2,31,29,5,5,5,8,32,24,11,4,9,27,22,9
1,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,0,29,27,4,7,5,5,24,26,16,6,11,41,29,12
2,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-4,31,29,6,5,5,10,31,23,8,3,8,24,21,10
3,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-2,30,28,3,7,5,3,14,22,14,5,11,39,26,10
4,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,0,31,29,5,5,6,5,19,23,12,4,8,29,22,10
5,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,18,-7,29,27,6,4,5,8,30,29,16,6,5,19,26,15
6,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,17,0,29,27,5,5,5,7,28,28,16,6,7,27,28,15
7,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-6,31,29,4,2,5,5,19,22,12,4,2,7,16,10
8,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-4,33,31,5,0,2,7,29,17,8,2,0,0,6,4
9,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,16,-3,28,26,5,8,9,6,22,32,17,6,12,47,30,12
10,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-3,29,27,6,7,7,8,20,26,11,6,10,40,29,13
11,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,10,-4,30,28,7,4,4,10,24,29,15,5,6,23,23,12
12,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-4,32,30,6,3,5,7,21,17,5,3,5,15,15,7
13,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-6,30,28,4,5,4,6,30,23,13,5,8,27,25,12
14,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-4,29,27,4,3,7,5,24,27,15,6,4,15,24,14
15,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,0,29,27,4,7,7,4,16,27,16,5,12,43,26,9
16,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,17,-3,29,27,5,6,8,6,22,29,15,6,9,35,30,15
17,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,0,31,29,5,4,6,6,28,24,12,4,6,21,20,10
18,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,12,-8,26,24,6,9,6,8,31,37,23,7,12,42,34,15
19,RandomAgent,HeuristicAgent,mono_white_control,mono_blue_tempo,0,life,20,-3,31,29,6,5,5,9,37,19,5,4,8,29,22,10
