game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures
0,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,10,19,15,3,5
1,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,3,19,15,5,5
2,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,12,19,15,2,6
3,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,13,19,15,4,5
4,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-8,15,18,14,5,4
5,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,15,18,14,4,3
6,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-3,19,16,6,3
7,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,14,19,15,4,6
8,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,18,-2,20,17,6,5
9,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,7,-2,19,16,2,4
10,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,0,8,19,15,6,5
11,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,2,19,15,6,4
12,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,0,14,19,15,4,5
13,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,6,19,15,5,4
14,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-8,16,19,15,3,6
15,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-5,18,15,8,3
16,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-3,20,17,4,2
17,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-5,6,18,14,6,5
18,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,5,19,15,6,5
19,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-2,19,16,3,6
20,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,4,18,14,6,4
21,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-6,11,18,14,4,4
22,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,5,-1,18,15,5,4
23,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-1,19,16,6,4
24,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,3,19,15,5,6
25,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,9,19,15,7,6
26,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,7,-4,19,16,5,5
27,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,-5,19,16,5,2
28,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,5,-1,18,15,4,5
29,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,4,19,15,6,5
30,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,4,19,15,4,6
31,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-1,18,15,6,3
32,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,1,-6,19,16,6,6
33,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,0,20,17,5,3
34,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,10,-7,19,16,7,4
35,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-1,18,15,6,5
36,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,9,19,15,2,6
37,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,7,-7,16,13,7,3
38,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-13,1,19,15,5,7
39,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,6,19,15,5,5
40,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,0,8,18,14,8,4
41,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,11,19,15,3,6
42,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,0,18,15,6,5
43,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,3,19,15,5,4
44,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,15,-1,19,16,5,3
45,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,6,-2,18,15,6,3
46,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-3,18,15,6,5
47,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,8,18,14,5,5
48,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-2,21,18,5,1
49,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,4,19,15,4,5
50,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,5,19,15,5,6
51,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,9,19,15,4,5
52,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,18,-4,20,17,5,5
53,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,-7,19,16,7,2
54,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,-7,18,15,5,2
55,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-2,19,16,6,4
56,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,10,19,15,4,5
57,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,7,19,15,4,6
58,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,5,0,18,15,6,5
59,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,7,18,14,5,5
60,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,4,19,15,2,6
61,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-3,20,17,6,5
62,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-17,11,19,15,7,7
63,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,18,-6,20,17,6,4
64,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-1,21,18,6,1
65,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-3,20,17,6,2
66,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,5,19,15,4,7
67,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,0,19,16,4,2
68,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,-3,18,15,7,2
69,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,14,19,15,3,6
70,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,9,19,15,3,6
71,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-4,20,17,6,3
72,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-14,1,18,14,5,5
73,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,2,19,15,6,7
74,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,0,20,17,7,2
75,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-13,9,19,15,6,7
76,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-6,18,15,6,4
77,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-1,19,16,5,4
78,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,1,19,15,7,5
79,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,0,19,16,6,3
80,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-7,18,15,5,4
81,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-11,4,18,14,6,5
82,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-13,3,19,15,5,6
83,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,6,19,15,6,7
84,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-2,19,16,8,3
85,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,8,19,15,4,5
86,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,2,19,15,6,4
87,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,1,0,19,16,6,7
88,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-6,14,18,14,4,4
89,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-2,18,15,5,2
90,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,12,19,15,4,5
91,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-11,4,18,14,6,5
92,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-8,8,19,15,6,6
93,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,3,19,15,7,6
94,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,0,20,17,4,3
95,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-2,18,15,6,5
96,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-3,18,15,3,4
97,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,4,18,14,6,4
98,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,9,18,14,5,3
99,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-9,19,16,5,4
100,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,4,18,14,5,5
101,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-9,20,17,4,4
102,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,14,19,15,4,6
103,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-8,9,18,14,5,5
104,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-7,18,15,6,5
105,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,17,-3,19,16,7,1
106,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,17,0,19,16,5,2
107,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,13,19,15,5,6
108,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,11,19,15,3,5
109,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-1,18,15,6,4
110,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,2,19,15,5,7
111,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,2,18,14,5,3
112,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,10,-1,19,16,4,3
113,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,18,0,20,17,6,3
114,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,11,19,15,3,4
115,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-4,21,18,6,1
116,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-2,6,19,15,7,6
117,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,8,18,14,5,3
118,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-15,3,18,14,7,5
119,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-2,5,19,15,6,4
120,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-5,19,16,6,5
121,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,16,19,15,3,5
122,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,11,19,15,6,6
123,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-2,11,18,14,5,4
124,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-4,18,15,6,4
125,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-1,19,16,7,3
126,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,5,-3,18,15,8,5
127,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,10,-1,19,16,4,3
128,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,4,19,15,5,5
129,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,18,0,20,17,5,4
130,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,-2,19,16,5,2
131,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-6,7,18,14,5,3
132,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,1,19,15,6,7
133,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,10,19,15,4,7
134,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,8,18,14,5,4
135,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,5,-1,18,15,4,4
136,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,18,-3,20,17,6,3
137,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-8,20,17,5,4
138,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,1,19,15,5,7
139,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,3,19,15,5,6
140,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,6,19,15,4,5
141,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-6,13,18,14,3,5
142,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,7,19,15,7,6
143,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,15,19,15,4,4
144,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-11,14,18,14,2,5
145,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,2,19,15,6,5
146,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,13,19,15,5,6
147,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,-2,21,18,5,0
148,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,10,19,15,6,5
149,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,4,19,15,6,6
150,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,9,18,14,2,4
151,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,5,-2,17,14,5,3
152,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-9,5,18,14,6,5
153,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-14,5,18,14,6,5
154,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,10,-1,19,16,4,3
155,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-11,4,17,13,6,5
156,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-6,18,15,7,4
