game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-8,32,31,4,1,3,6,20,19,10,4,1,1,14,9
1,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-11,30,29,6,6,6,8,24,29,15,6,9,32,30,15
2,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-4,32,31,6,4,5,8,27,24,11,4,6,15,20,10
3,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,33,32,5,1,3,7,32,19,9,3,1,1,11,7
4,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-10,31,30,6,5,4,9,27,27,14,5,8,39,25,12
5,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,6,-11,28,27,7,6,8,8,29,36,20,8,8,27,36,20
6,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,1,life,-10,5,30,28,5,8,6,5,12,30,19,6,12,49,28,10
7,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-5,31,30,5,3,5,7,19,26,14,5,5,25,21,11
8,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,31,30,4,7,6,4,16,25,15,5,12,59,26,9
9,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-15,31,30,6,5,5,8,28,25,12,5,8,31,25,12
10,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,12,-10,31,30,7,7,5,10,36,24,9,5,11,48,26,10
11,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-1,32,31,4,2,4,4,15,21,13,4,2,5,16,10
12,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,31,30,6,2,5,8,34,27,14,5,3,15,19,11
13,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,32,31,5,2,5,6,17,24,13,4,3,12,16,9
14,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-10,31,30,6,5,6,6,20,27,15,5,7,30,25,13
15,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,5,3,6,6,18,24,12,4,3,6,18,11
16,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-1,32,31,4,2,5,6,22,21,10,4,2,5,16,10
17,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-5,33,32,6,2,4,9,28,19,6,3,2,2,13,8
18,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-1,31,30,4,7,5,6,27,24,13,5,11,48,26,10
19,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,31,30,5,5,5,7,20,26,14,5,9,45,25,11
