game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,32,31,5,0,5,7,25,24,4,4,8,14,12,0
1,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-7,32,31,5,0,4,6,16,23,5,4,8,8,12,0
2,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-8,33,32,5,0,3,6,28,20,6,3,6,6,9,0
3,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,33,32,5,0,3,8,39,20,3,3,6,6,9,0
4,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,32,31,5,0,5,6,27,23,2,4,8,14,12,0
5,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,31,30,4,0,6,4,12,24,6,5,4,18,15,6
6,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-12,33,32,7,0,5,9,31,18,2,3,0,0,9,6
7,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,29,28,2,0,6,2,6,25,7,7,8,38,21,6
8,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,33,32,5,0,3,6,21,20,2,3,6,6,9,0
9,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,5,0,5,8,30,24,4,4,2,8,12,6
10,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,31,30,4,0,6,6,16,24,5,5,2,10,15,8
11,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,32,31,4,0,5,6,23,22,3,4,0,0,12,8
12,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-10,31,30,4,0,4,5,18,23,8,5,10,24,15,0
13,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-5,33,32,5,0,6,7,37,21,5,3,6,6,9,0
14,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,31,30,5,0,6,7,21,27,8,5,10,18,15,0
15,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,34,33,6,0,5,7,27,18,5,2,0,0,6,4
16,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-5,32,31,7,0,6,9,32,26,6,4,8,14,12,0
17,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,32,31,5,0,3,6,19,21,6,4,8,14,12,0
18,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,32,31,5,0,4,7,29,23,7,4,8,14,12,0
19,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,33,32,4,0,5,5,26,19,5,3,6,6,9,0
20,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,32,31,6,0,4,7,22,24,5,4,8,8,12,0
21,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,31,30,4,0,6,4,17,25,4,5,10,24,15,0
22,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,28,27,5,0,7,5,22,34,5,8,16,48,24,0
23,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,34,33,7,0,1,11,46,15,1,2,2,2,6,2
24,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-5,33,32,6,0,5,8,25,21,2,3,6,6,9,0
25,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-9,31,30,4,0,4,4,10,23,7,5,4,18,15,6
26,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,32,31,5,0,2,8,27,21,4,4,8,8,12,0
27,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-5,31,30,5,0,6,6,23,26,2,5,10,24,15,0
28,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,32,31,5,0,4,6,15,23,9,4,8,14,12,0
29,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-5,32,31,6,0,5,8,23,25,4,4,2,8,12,6
30,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,33,32,5,0,5,8,22,21,3,3,0,0,9,6
31,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-7,31,30,7,0,4,11,39,25,8,5,10,24,15,0
32,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,31,30,3,0,5,4,13,22,3,5,4,18,15,6
33,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,32,31,4,0,5,6,23,21,6,4,8,14,12,0
34,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-12,32,31,6,0,5,7,26,22,5,4,8,8,12,0
35,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-1,30,29,4,0,6,5,13,27,6,6,12,28,18,0
36,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,28,27,5,0,7,6,19,34,9,8,16,48,24,0
37,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,30,29,4,0,6,6,15,27,5,6,4,20,18,8
38,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,0,31,30,4,0,9,4,11,25,2,5,6,20,15,4
