game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-3,32,31,5,2,4,5,12,23,14,4,2,5,16,10
1,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,4,2,5,6,24,22,11,4,3,12,16,9
2,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,33,32,5,1,2,8,25,19,9,3,1,1,11,7
3,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,1,life,0,2,29,27,3,6,8,3,12,29,18,8,8,27,35,19
4,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-13,31,30,5,5,6,7,24,26,13,5,7,19,25,13
5,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-3,32,31,4,3,5,4,14,22,13,4,4,4,18,10
6,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,-1,31,30,4,7,6,4,9,24,14,5,11,48,26,10
7,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,18,-3,32,31,4,2,4,6,17,21,11,4,2,5,16,10
8,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-9,32,31,5,2,4,8,20,23,11,4,3,12,16,9
9,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-2,32,31,4,1,5,7,36,22,10,4,1,1,14,9
10,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,14,-2,30,29,3,7,7,3,10,26,16,6,10,42,29,13
11,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,33,32,5,3,4,6,27,21,11,3,4,4,15,8
12,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,32,31,7,0,4,9,30,22,9,4,0,0,12,8
13,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,10,-1,31,30,3,6,6,3,8,22,13,5,9,32,27,13
14,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-5,32,31,4,3,5,4,12,22,13,4,4,13,18,10
15,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-6,32,31,6,1,5,9,25,25,11,4,1,4,14,9
16,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,10,-1,30,29,4,7,8,4,13,27,15,6,11,47,29,12
17,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,16,0,31,30,3,4,5,3,10,22,14,5,5,20,23,13
18,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,20,-4,33,32,5,0,7,5,21,21,9,3,0,0,9,6
19,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,0,life,14,-3,30,29,4,6,6,4,9,27,17,6,9,32,30,15
